Sports,How many total rounds are in UFC main event?,5,4,3,10,A
Sports,How many rounds are in a professional game of golf?,17,12,18,9,C
Sports,Who was the first African American baseball player to play in the MLB,Hank Aaron,Willie Mays,Ken Griffey ,Jackie Robinson,D
Sports,How many career home runs does Ken Griffey Jr have?,700,600,630,720,C
Sports,Which NBA player on this list score 81 points in one game?,David Robinson ,Michael Jordan,Kobe Bryant,Lebron James,C
Sports,Which professional sport was founded first ,NHL,NFL,NBA,MLS,A
TV,How many seasons of friends are there?,5,6,9,10,D
TV,Who is the host of America's Next top Model?,Paris Hilton,Tyra Banks,RuPaul,Heidi Klum,B
TV,"The show ""Insecure"" is based on works in what other entertainment medium?",Drawing,Music,Webseries,Tweets,C
TV,"What is the name of the college on ""Dear White People""?",Winchester College,Arial College,Barden University,Harvard,A
TV,What cop show does Andy Samberg star in?,Chicago PD,Law and Order,Brooklyn Nine-Nine,Criminal Minds,C
TV,"The TV show ""Game of Thrones"" is based on a novel by which author?",George R. R. Miller,Arthur Miller,Ian Fleming,Thomas Harding,A
TV,"What is the name of the basketball team on the show ""One Tree Hill""?",The Eagles,The Ravens,The Raiders,The Phantoms,B
TV,Ted Mosby and Marshall Eriksen are both characters on which show?,How I Met Your Mother,One Tree Hill,Community,Lie To Me,A
TV,"On the show ""Victorious"", what is Tori's talent?",Violin ,Guitar,Dancing ,Singing,D
TV,What show starts Courtney Cox?,Once Upon a Time,Glee,Cougar Town,Castle,C
TV,In which city do Ross and Rachel Get married in?,Los Angeles,Paris,Las Vegas,New York City,C
TV,"In the second season of HBO series ""Game of Thrones"", to whom did Brienne swear an oath of fealty?",Sansa Stark,Catelyn Stark,Ned Stark,Jamie Lanister,B
TV,"What is Rick's last name in ""Rick and Morty""?",Sanchez,Smith,Lopez,Johnson,A
TV,What beloved anti-hero becomes a meth cook in order to support his family?,Tony Soprano,Walter White,Vic Mackey,Jimmy Mcnulty,B
TV,Who killed Keith Scott?,Nathan,Brooke,Dan,Peyton,C
TV,"In Monica from Friends Apartment, what is the color of Ottoman?",Green,Purple,Red,Blue,A
TV,Who has won the most Halloween Heists in Brooklyn Nine-Nine?,Holt,Jake,Amy,Gina,A
TV,Which Season of Friends is the only one without a Thanksgiving Episode?,3,4,5,2,D
TV,What is the real name of the Pontiac Bandit?,Derek Judd,Judy Jones,Doug Judy,Doug Jones,C
TV,Which one of these is not a Tanner sister?,Michelle,Kimmy,DJ,Stephanie,B
TV,What year did Game of Thrones premiere? ,2011,2012,2010,2009,A
TV,Who did Uncle Jessie marry?,Stacy,Kimmy,Sara,Becky,D
TV,What is Catelyn Stark's maiden name?,Tyrell,Martell,Tully,Greyjoy,C
TV,Whats the name of the Tanners' dog?,Rex,Ryder,Comet,Carl,C
TV,Who has seven brothers in Brooklyn Nine-Nine?,Rosa,Amy,Charles,Gina,B
